,title,startTime,endTime,location,json_detail_url
0,数字信号处理（E）,2023-10-07 08:00,2023-10-07 09:40,东中院1-107,https://calendar.sjtu.edu.cn/api/event/detail?id=31438366-a9bd-4866-8497-516097393ddc
1,安全开发模型及安全编程,2023-10-07 10:00,2023-10-07 11:40,东中院3-204,https://calendar.sjtu.edu.cn/api/event/detail?id=579f0cd9-78c4-4da1-b2b0-3ad1204f754e
2,算法（计算）复杂度分析,2023-10-07 14:00,2023-10-07 15:40,东中院2-206,https://calendar.sjtu.edu.cn/api/event/detail?id=14ba7dc8-1eee-4450-b48b-2929d2dca921
3,大学化学,2023-10-07 18:00,2023-10-07 19:40,下院209,https://calendar.sjtu.edu.cn/api/event/detail?id=6c449965-7ad9-4ea5-ab25-aaec2f1a1d0b
4,系统软件安全,2023-10-08 08:00,2023-10-08 09:40,东中院2-306,https://calendar.sjtu.edu.cn/api/event/detail?id=6058676d-1d95-4ca6-9c31-2837e957675c
5,现代密码学(1),2023-10-08 10:00,2023-10-08 11:40,东中院2-206,https://calendar.sjtu.edu.cn/api/event/detail?id=94666009-af79-4f22-a7b3-8cb9eac1abf4
6,数据库原理及安全,2023-10-08 14:00,2023-10-08 15:40,东下院102,https://calendar.sjtu.edu.cn/api/event/detail?id=7ba13f2e-2e03-4d39-bf01-28b5f017d02a
7,数字信号处理（E）,2023-10-09 08:00,2023-10-09 09:40,东中院1-107,https://calendar.sjtu.edu.cn/api/event/detail?id=63b20296-2a3b-4f68-aaca-af9ddc48a63c
8,安全开发模型及安全编程,2023-10-10 08:00,2023-10-10 09:40,东中院3-204,https://calendar.sjtu.edu.cn/api/event/detail?id=ed4a17fd-c50d-4e2a-a95a-fa9f387a98f7
9,数据库原理及安全,2023-10-10 10:00,2023-10-10 11:40,东下院102,https://calendar.sjtu.edu.cn/api/event/detail?id=2a0e95dc-d46f-4ecf-b402-34b1be0501c7
10,现代密码学(1),2023-10-10 14:00,2023-10-10 15:40,东中院2-206,https://calendar.sjtu.edu.cn/api/event/detail?id=b2e23688-a9c9-440d-939d-98cdd29c8f7a
11,计算机通信网络（A）,2023-10-11 10:00,2023-10-11 11:40,东下院211,https://calendar.sjtu.edu.cn/api/event/detail?id=8c27c04f-9057-4084-9246-6260ae768596
12,数字信号处理（E）,2023-10-12 08:00,2023-10-12 09:40,东中院1-107,https://calendar.sjtu.edu.cn/api/event/detail?id=1843c5a1-c93e-48cc-aef7-d255db91ff6f
13,安全开发模型及安全编程,2023-10-12 10:00,2023-10-12 11:40,东中院3-204,https://calendar.sjtu.edu.cn/api/event/detail?id=8bc51f83-9c85-4b71-b25d-aa02d52b53a3
14,算法（计算）复杂度分析,2023-10-12 14:00,2023-10-12 15:40,东中院2-206,https://calendar.sjtu.edu.cn/api/event/detail?id=851e6b27-27ed-4d45-81f6-3dd7c6873a39
15,大学化学,2023-10-12 18:00,2023-10-12 19:40,下院209,https://calendar.sjtu.edu.cn/api/event/detail?id=1e79f4cf-57fb-4a86-a730-50f03da2450c
16,系统软件安全,2023-10-13 08:00,2023-10-13 09:40,东中院2-306,https://calendar.sjtu.edu.cn/api/event/detail?id=cc4434a1-3499-494d-b1cf-d9b138b9bd66
17,现代密码学(1),2023-10-13 10:00,2023-10-13 11:40,东中院2-206,https://calendar.sjtu.edu.cn/api/event/detail?id=0fb93ae4-5b18-42b1-ad05-5e6bfa374bcb
18,数据库原理及安全,2023-10-13 14:00,2023-10-13 15:40,东下院102,https://calendar.sjtu.edu.cn/api/event/detail?id=112fa5a4-9ccb-4310-a4d8-b52c38c316b3
