,ref,title,posts_count,reply_count,unseen,category,tags,views
0,https://shuiyuan.sjtu.edu.cn/t/topic/167465,100天诗词打卡(但是随机掉落猫猫),195,70,False,宠物花草,['坚持100天'],1988
1,https://shuiyuan.sjtu.edu.cn/t/topic/207294,不想上课不想上课不想上课不想上课,23,6,True,校园生活,['发电'],1043
2,https://shuiyuan.sjtu.edu.cn/t/topic/205915,:ocean:饮水思源型无主题随意灌水楼11.0,7431,5612,False,谈笑风生,['氵'],3236
3,https://shuiyuan.sjtu.edu.cn/t/topic/207396,交大导师里大概百分之多少经常压榨/PUA学生？,24,14,True,科研科创,[],1279
4,https://shuiyuan.sjtu.edu.cn/t/topic/205316,求rlc实验中rl串联电路的波形图，可偿,10,6,False,课业学习,[],299
5,https://shuiyuan.sjtu.edu.cn/t/topic/157428,坚持打卡早睡+健身,151,59,False,谈笑风生,"['坚持100天', '坚持365天']",1764
6,https://shuiyuan.sjtu.edu.cn/t/topic/178401,且凭诗换酒,127,84,False,文学交流,[],2593
7,https://shuiyuan.sjtu.edu.cn/t/topic/199784,发型师的碎碎念,1104,800,False,心情驿站,[],5839
8,https://shuiyuan.sjtu.edu.cn/t/topic/207383,激活学校的win11系统求助！,13,8,True,正版软件,['帮我个忙'],241
9,https://shuiyuan.sjtu.edu.cn/t/topic/207390,美国大选2024观察：为什么对特朗普来说，坏消息反而是好消息？,3,0,True,热点新闻,[],304
10,https://shuiyuan.sjtu.edu.cn/t/topic/202603,皮蛋の自律日常,84,36,False,谈笑风生,"['氵', '日记']",1122
11,https://shuiyuan.sjtu.edu.cn/t/topic/207344,讨论——有什么不紫砂的理由,107,28,True,心情驿站,[],1342
12,https://shuiyuan.sjtu.edu.cn/t/topic/207406,博士开学一个月就觉得读不下去是正常的吗？,22,15,True,谈笑风生,['破防了'],806
13,https://shuiyuan.sjtu.edu.cn/t/topic/91863/6117,坚毅不导自律楼,6575,5054,False,谈笑风生,"['坚持100天', '二刺猿']",137361
14,https://shuiyuan.sjtu.edu.cn/t/topic/207418,被body shame了，气的睡不着觉,13,6,True,谈笑风生,['发发牢骚'],510
15,https://shuiyuan.sjtu.edu.cn/t/topic/45262/165,LeetCode每日一题交流楼,3470,668,False,课业学习,[],55552
16,https://shuiyuan.sjtu.edu.cn/t/topic/182261,很担心即将前往的医学院女寝🙁,76,63,False,校园生活,['二酱'],5597
17,https://shuiyuan.sjtu.edu.cn/t/topic/207378,因运动造成膝盖滑膜(?)受损,5,0,True,医疗健康,['帮我个忙'],249
18,https://shuiyuan.sjtu.edu.cn/t/topic/181746,轻松一刻6.0，来分享大家看到的趣图趣事吧,7983,2897,False,心情驿站,[],97896
19,https://shuiyuan.sjtu.edu.cn/t/topic/207333,“哲学的世界” 2023秋季通识讲座,13,5,True,讲座报告,[],485
20,https://shuiyuan.sjtu.edu.cn/t/topic/179024,md，上班真累,350,127,False,职场生涯,[],15887
21,https://shuiyuan.sjtu.edu.cn/t/topic/206845,【求助贴】聊典型工科男好难,128,95,False,心情驿站,"['帮我个忙', '发发牢骚']",2311
22,https://shuiyuan.sjtu.edu.cn/t/topic/206771/1,猫猫日寄（奇怪的工科猫 2.0,462,418,False,知性感性,"['坚持100天', '日记']",813
23,https://shuiyuan.sjtu.edu.cn/t/topic/207387,一份正确的感情，要爱多深,26,6,True,知性感性,['发发牢骚'],660
24,https://shuiyuan.sjtu.edu.cn/t/topic/171727,计算方法研究生挂了,21,16,False,课业学习,[],2137
25,https://shuiyuan.sjtu.edu.cn/t/topic/120900,来一个文化接龙的楼吧 接龙必须是成语、诗歌两类（顶针格）,3747,5148,False,文学交流,[],8629
26,https://shuiyuan.sjtu.edu.cn/t/topic/203110,美国随手拍,12,8,False,境外求索,['旅游'],759
27,https://shuiyuan.sjtu.edu.cn/t/topic/71342,氵丨守夜冠军,3218,622,False,谈笑风生,['氵'],24183
28,https://shuiyuan.sjtu.edu.cn/t/topic/170076,建一个开学记录水楼！,1726,1131,False,谈笑风生,['氵'],8250
29,https://shuiyuan.sjtu.edu.cn/t/topic/191088,坚持瓦罗兰特（或者Aimlab）100天,99,38,False,游戏竞技,['坚持100天'],1981
