,种类,id,名称,报名开始时间,报名结束时间,活动开始时间,活动结束时间,配图url
0,红色之旅,552729508935892992,中法学院10月7日第十七期启研讲坛报名链接,2023-09-26 23:00:00,2023-10-07 18:00:00,2023-10-07 18:25:00,2023-10-07 20:25:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E5%90%AF%E7%A0%94%E8%AE%B2%E5%9D%9B_iZfCR9xN_sOKWfTdn_IhnK2W0G.png
1,劳动教育,551936858016186368,"""多运动，不Emo""活动招募志愿者",2023-09-25 00:00:00,2023-11-10 00:00:00,2023-11-11 00:00:00,2023-12-31 00:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E5%BE%AE%E4%BF%A1%E5%9B%BE%E7%89%87_20230924125824_x8IwyK1W.png
2,劳动教育,538093370900217856,“青春闪药”杯第五届药学知识实验技能大赛初赛报名通道,2023-08-23 00:00:00,2023-10-13 00:00:00,2023-10-21 00:00:00,2023-10-22 00:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%282023-08-19%29-%E8%8D%AF%E5%AD%A6%E7%9F%A5%E8%AF%86%E6%8A%80%E8%83%BD%E5%A4%A7%E8%B5%9B%E5%B0%81%E9%9D%A2_kVDjP4El.png
3,劳动教育,555925242187350016,【10.13】校园高峰岗巡逻志愿者招募,2023-10-05 18:00:00,2023-10-13 00:00:00,2023-10-13 11:25:00,2023-10-13 14:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E9%9D%92%E5%BF%97%E9%98%9F_UnXRR1mS.png
4,劳动教育,555924725272936448,【10.12】校园高峰岗巡逻志愿者招募,2023-10-05 18:00:00,2023-10-12 00:00:00,2023-10-12 09:25:00,2023-10-12 14:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E9%9D%92%E5%BF%97%E9%98%9F_flX7SF3o.png
5,劳动教育,555923862122921984,【10.11】校园高峰岗巡逻志愿者招募,2023-10-05 18:00:00,2023-10-11 00:00:00,2023-10-11 11:25:00,2023-10-11 14:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E9%9D%92%E5%BF%97%E9%98%9F_TTk1z7Gn.png
6,劳动教育,555923204653187072,【10.10】校园高峰岗巡逻志愿者招募,2023-10-05 18:00:00,2023-10-10 00:00:00,2023-10-10 09:25:00,2023-10-10 14:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E9%9D%92%E5%BF%97%E9%98%9F_uoOgfn26.png
7,劳动教育,555921976279957504,【10.9】校园高峰岗巡逻志愿者招募,2023-10-05 18:00:00,2023-10-09 00:00:00,2023-10-09 09:25:00,2023-10-09 14:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E9%9D%92%E5%BF%97%E9%98%9F_LSPXjUHz.png
8,劳动教育,552997898497818624,21、22年-学创科创赛事劳动教育学时-多项赛事（8学时）,2023-10-06 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E8%B5%84%E6%BA%90%201_knt9E3MW.png
9,劳动教育,552996279328702464,21-22年-学生创新中心科创赛事劳动教育学时认定-校级赛事,2023-10-06 00:00:00,2023-10-07 00:00:00,2023-10-07 00:00:00,2023-10-08 00:00:00,https://s3.jcloud.sjtu.edu.cn:443/2a9c49ee085a49b1907937307b539b06-arvato_uat/%E8%B5%84%E6%BA%90%201_3AKFOBjn.png
